順位,騎手名,,騎乗回数,1着,2着,3着,4着以下,勝率,連対率,収得賞金（円）,騎手パワー,
27,岩田望来,大井,3,1,0,0,2,33.30%,33.30%,"53,000,000",,
28,張田昂,大井,138,4,11,15,108,2.90%,10.90%,"52,715,000",,
29,千田洋,大井,236,10,12,14,200,4.20%,9.30%,"48,590,000",,
30,中山遥人,大井,261,14,17,16,214,5.40%,11.90%,"47,875,000",,
31,松崎正泰,大井,50,4,1,1,44,8.00%,10.00%,"46,440,000",,
32,岡村健司,大井,250,6,13,11,220,2.40%,7.60%,"45,680,000",,
33,江里口裕輝,大井,193,10,13,20,150,5.20%,11.90%,"44,570,000",,
34,菱田裕二,大井,1,1,0,0,0,100.00%,100.00%,"40,000,000",,
35,桑村真明,大井,136,4,10,13,109,2.90%,10.30%,"36,085,000",,
36,高橋優,大井,288,7,12,20,249,2.40%,6.60%,"35,985,000",,
37,石川駿介,大井,272,7,14,21,230,2.60%,7.70%,"35,605,000",,
38,Ｊ．モレイラ,大井,1,1,0,0,0,100.00%,100.00%,"30,000,000",,
38,西村淳也,大井,1,1,0,0,0,100.00%,100.00%,"30,000,000",,
40,坂井瑠星,大井,4,1,0,0,3,25.00%,25.00%,"28,000,000",,
41,東原悠善,大井,261,7,9,7,238,2.70%,6.10%,"24,960,000",,
42,福原杏,大井,94,4,5,4,81,4.30%,9.60%,"24,565,000",,
43,澤田龍哉,大井,36,3,7,1,25,8.30%,27.80%,"23,425,000",,
44,瀬川将輝,大井,207,5,9,13,180,2.40%,6.80%,"21,385,000",,
45,佐野遥久,大井,148,2,8,12,126,1.40%,6.80%,"20,940,000",,
46,横川怜央,大井,157,5,5,9,138,3.20%,6.40%,"20,040,000",,
47,山中悠希,大井,100,3,3,5,89,3.00%,6.00%,"19,325,000",,
48,中村尚平,大井,171,5,8,10,148,2.90%,7.60%,"18,205,000",,
49,櫻井光輔,大井,91,3,7,5,76,3.30%,11.00%,"17,540,000",,
50,武豊,大井,1,0,0,1,0,0.00%,0.00%,"16,000,000",,
51,高野誠毅,大井,193,3,2,9,179,1.60%,2.60%,"14,785,000",,
52,服部茂史,大井,73,3,6,3,61,4.10%,12.30%,"14,755,000",,
53,佐々木大輔,大井,1,0,0,1,0,0.00%,0.00%,"14,000,000",,
54,今野忠成,大井,62,3,3,8,48,4.80%,9.70%,"13,515,000",,
55,川田将雅,大井,4,0,0,0,4,0.00%,0.00%,"12,500,000",,
56,小野俊斗,大井,160,6,1,5,148,3.80%,4.40%,"11,325,000",,
57,田中洸多,大井,157,1,3,12,141,0.60%,2.50%,"10,855,000",,
58,Ｍ．ミシェル,大井,54,2,2,5,45,3.70%,7.40%,"10,790,000",,
59,Ｍ．デムーロ,大井,1,0,1,0,0,0.00%,100.00%,"10,500,000",,
60,秋元耕成,大井,25,1,2,2,20,4.00%,12.00%,"8,250,000",,
61,池添謙一,大井,1,0,0,1,0,0.00%,0.00%,"8,000,000",,
61,酒井学,大井,1,0,0,1,0,0.00%,0.00%,"8,000,000",,
63,山林堂信彦,大井,88,1,0,2,85,1.10%,1.10%,"7,615,000",,
64,落合玄太,大井,6,0,1,1,4,0.00%,16.70%,"7,200,000",,
65,新原周馬,大井,74,2,4,2,66,2.70%,8.10%,"6,930,000",,
66,本村直樹,大井,120,2,2,8,108,1.70%,3.30%,"6,410,000",,
67,高杉吏麒,大井,1,0,0,1,0,0.00%,0.00%,"6,000,000",,
67,團野大成,大井,2,0,0,1,1,0.00%,0.00%,"6,000,000",,
69,仲原大生,大井,79,0,4,5,70,0.00%,5.10%,"5,815,000",,
70,丹内祐次,大井,3,0,1,1,1,0.00%,33.30%,"5,500,000",,
71,木澤奨,大井,47,3,3,2,39,6.40%,12.80%,"5,320,000",,
72,吉村誠之助,大井,5,0,0,0,5,0.00%,0.00%,"5,280,000",,
73,岩田康誠,大井,1,0,0,0,1,0.00%,0.00%,"5,000,000",,
74,飛田愛斗,大井,7,0,1,3,3,0.00%,14.30%,"4,220,000",,
75,及川烈,大井,10,2,0,0,8,20.00%,20.00%,"4,000,000",,
76,木間塚龍馬,大井,16,1,0,1,14,6.30%,6.30%,"3,950,000",,
77,保園翔也,大井,22,1,2,1,18,4.50%,13.60%,"3,930,000",,
78,吉村智洋,大井,1,0,0,1,0,0.00%,0.00%,"3,000,000",,
79,見越彬央,大井,3,0,0,0,3,0.00%,0.00%,"2,980,000",,
80,長岡禎仁,大井,1,0,1,0,0,0.00%,100.00%,"2,880,000",,
81,石神深道,大井,1,1,0,0,0,100.00%,100.00%,"2,800,000",,
82,田邊裕信,大井,2,0,0,0,2,0.00%,0.00%,"2,500,000",,
83,津村明秀,大井,1,0,0,0,1,0.00%,0.00%,"2,400,000",,
84,Ｅ．シャベス,大井,12,0,2,0,10,0.00%,16.70%,"2,120,000",,
85,赤岡修次,大井,4,1,0,1,2,25.00%,25.00%,"2,100,000",,
86,所蛍,大井,36,0,0,1,35,0.00%,0.00%,"2,065,000",,
87,小野楓馬,大井,13,0,0,1,12,0.00%,0.00%,"1,870,000",,
88,遠藤汰月,大井,2,1,0,0,1,50.00%,50.00%,"1,800,000",,
88,神尾香澄,大井,8,1,0,0,7,12.50%,12.50%,"1,800,000",,
90,遠藤健太,大井,109,0,2,3,104,0.00%,1.80%,"1,770,000",,
91,黛弘人,大井,1,0,0,1,0,0.00%,0.00%,"1,760,000",,
92,仲野光馬,大井,5,0,0,0,5,0.00%,0.00%,"1,550,000",,
93,篠谷葵,大井,11,0,1,0,10,0.00%,9.10%,"1,200,000",,
93,下原理,大井,4,0,1,0,3,0.00%,25.00%,"1,200,000",,
95,小崎綾也,大井,1,0,1,0,0,0.00%,100.00%,"1,120,000",,
96,庄司大輔,大井,2,0,0,0,2,0.00%,0.00%,"930,000",,
97,西優哉,大井,8,0,0,1,7,0.00%,0.00%,"925,000",,
98,山本聡紀,大井,1,1,0,0,0,100.00%,100.00%,"800,000",,
99,上里直汰,大井,2,0,1,0,1,0.00%,50.00%,"720,000",,
99,菊澤一樹,大井,1,0,0,0,1,0.00%,0.00%,"720,000",,
1,矢野貴之,川崎,312,75,59,42,136,24.00%,42.90%,"316,850,000",,
2,野畑凌,川崎,450,94,59,47,250,20.90%,34.00%,"306,180,000",,
3,笹川翼,川崎,330,70,55,33,172,21.20%,37.90%,"275,915,000",,
4,町田直希,川崎,421,56,51,64,250,13.30%,25.40%,"196,070,000",,
5,本田正重,川崎,156,23,27,17,89,14.70%,32.10%,"148,850,000",,
6,御神本訓史,川崎,122,33,20,17,52,27.00%,43.40%,"125,775,000",,
7,佐野遥久,川崎,414,35,42,49,288,8.50%,18.60%,"123,580,000",,
8,新原周馬,川崎,339,38,33,35,233,11.20%,20.90%,"122,515,000",,
9,西村淳也,川崎,1,1,0,0,0,100.00%,100.00%,"100,000,000",,
10,櫻井光輔,川崎,393,25,34,35,299,6.40%,15.00%,"95,885,000",,
11,山崎誠士,川崎,180,24,21,28,107,13.30%,25.00%,"73,250,000",,
12,西啓太,川崎,223,14,18,20,171,6.30%,14.30%,"69,400,000",,
13,岡村健司,川崎,151,19,16,25,91,12.60%,23.20%,"69,335,000",,
14,張田昂,川崎,139,11,23,18,87,7.90%,24.50%,"55,110,000",,
15,吉原寛人,川崎,11,3,3,1,4,27.30%,54.50%,"54,120,000",,
16,池谷匠翔,川崎,304,11,20,30,243,3.60%,10.20%,"54,110,000",,
17,加藤雄真,川崎,345,16,18,17,294,4.60%,9.90%,"52,655,000",,
18,藤江渉,川崎,332,12,20,28,272,3.60%,9.60%,"50,650,000",,
